مزرعه,مساحت (ha),PN1,PE1,PN2,PE2,PN3,PE3,PN4,PE4,PN9,PE9,PN10,PE10,PN11,PE11
16-06,23.87,3488284.99,284453.25,3488316.36,284206.73,3487363.70,284085.53,3487332.33,284332.05,,,,,,
16-07,23.86,3487296.51,284066.90,3487327.87,283820.39,3486375.21,283699.19,3486343.85,283945.70,,,,,,
16-08,23.86,3488317.62,284196.81,3488348.98,283950.30,3487396.32,283829.10,3487364.96,284075.61,,,,,,
16-09,23.86,3487328.37,283816.42,3487359.74,283569.91,3486407.08,283448.71,3486375.71,283695.22,,,,,,
16-10,23.86,3488349.48,283946.33,3488380.85,283699.82,3487428.18,283578.62,3487396.82,283825.13,,,,,,
16-11,23.86,3487361.00,283559.98,3487392.36,283313.47,3486439.70,283192.27,3486408.34,283438.78,,,,,,
16-12,23.86,3488382.11,283689.89,3488413.47,283443.38,3487460.81,283322.18,3487429.45,283568.69,,,,,,
16-13,23.86,3487392.87,283309.50,3487424.23,283062.99,3486471.57,282941.79,3486440.20,283188.30,,,,,,
16-14,23.86,3488413.97,283439.41,3488445.34,283192.90,3487492.68,283071.70,3487461.31,283318.21,,,,,,
16-15,23.05,3487425.49,283053.07,3487454.81,282814.74,3486503.12,282693.54,3486472.83,282931.87,,,,,,
16-16,23.07,3488446.60,283182.98,3488476.92,282944.65,3487524.26,282823.45,3487493.94,283061.78,,,,,,
16-17,23.07,3487458.39,282794.41,3487488.71,282556.08,3486536.05,282434.88,3486505.73,282673.22,,,,,,
16-18,23.07,3488479.50,282924.32,3488509.82,282685.99,3487557.16,282564.79,3487526.84,282803.12,,,,,,
16-19,23.86,3487489.98,282546.16,3487521.34,282299.65,3486568.68,282178.46,3486537.32,282424.97,,,,,,
16-20,23.86,3488511.09,282676.07,3488542.45,282429.56,3487589.79,282308.36,3487558.43,282554.87,,,,,,
16-21,23.87,3487521.84,282295.68,3487553.20,282049.17,3486600.54,281927.79,3486569.18,282174.48,,,,,,
16-22,23.86,3488542.95,282425.59,3488574.31,282179.08,3487621.65,282057.88,3487590.29,282304.39,,,,,,
16-23,23.86,3487554.47,282039.24,3487585.83,281792.73,3486633.17,281671.54,3486601.81,281918.05,,,,,,
16-24,23.86,3488575.58,282169.15,3488606.94,281922.64,3487654.28,281801.44,3487622.92,282047.95,,,,,,
16-25,23.86,3487586.33,281788.76,3487617.69,281542.25,3486665.03,281421.05,3486633.67,281667.56,,,,,,
16-26,23.86,3488607.44,281918.67,3488638.80,281672.16,3487686.14,281550.96,3487654.78,281797.47,,,,,,
16-27,25.44,3487618.96,281532.33,3487652.21,281270.98,3486699.92,281146.84,3486666.30,281411.14,,,,,,
16-28,23.58,3488640.07,281662.24,3488671.05,281418.71,3487718.39,281297.51,3487687.41,281541.04,,,,,,
17-01,24.58,3488175.21,285316.22,3488207.53,285062.13,3487254.84,284941.20,3487222.55,285195.02,,,,,,
17-02,24.56,3487154.10,285186.31,3487186.39,284932.51,3486233.69,284811.58,3486201.44,285065.12,,,,,,
17-03,23.86,3488142.58,285572.66,3488173.94,285326.15,3487221.28,285204.95,3487189.92,285451.46,,,,,,
17-04,23.86,3487121.47,285442.76,3487152.83,285196.24,3486200.17,285075.05,3486168.81,285321.56,,,,,,
17-05,23.87,3488110.71,285823.15,3488142.08,285576.62,3487189.42,285455.42,3487158.05,285701.95,,,,,,
17-06,23.87,3487089.60,285693.24,3487120.97,285446.71,3486168.31,285325.52,3486136.94,285572.05,,,,,,
17-07,23.86,3488078.09,286079.57,3488109.45,285833.06,3487156.79,285711.86,3487125.43,285958.37,,,,,,
17-08,23.86,3487056.98,285949.67,3487088.34,285703.15,3486135.68,285581.96,3486104.32,285828.47,,,,,,
17-09,23.86,3488046.23,286330.05,3488077.59,286083.54,3487124.93,285962.34,3487093.57,286208.85,,,,,,
17-10,23.86,3487025.12,286200.14,3487056.45,285953.63,3486103.82,285832.44,3486072.46,286078.95,,,,,,
17-11,23.86,3488013.60,286586.48,3488044.96,286339.97,3487092.30,286218.77,3487060.94,286465.28,,,,,,
17-12,23.86,3486992.49,286456.58,3487023.85,286210.06,3486071.19,286088.87,3486039.83,286335.38,,,,,,
17-13,23.86,3487981.74,286836.96,3488013.10,286590.45,3487060.44,286469.25,3487029.08,286715.76,,,,,,
17-14,23.86,3486960.63,286707.05,3486991.99,286460.54,3486039.33,286339.35,3486007.97,286585.86,,,,,,
17-15,23.60,3487949.45,287090.67,3487980.47,286846.89,3487027.81,286725.69,3486996.81,286969.47,,,,,,
17-16,23.60,3486928.34,286960.76,3486959.36,286716.98,3486006.70,286595.79,3485975.68,286839.57,,,,,,
17-17,23.07,3487917.25,287343.88,3487947.57,287105.55,3486994.91,286984.35,3486964.59,287222.68,,,,,,
17-18,23.11,3488912.52,287470.50,3488942.84,287232.17,3487988.79,287110.79,3487958.47,287349.12,,,,,,
17-19,23.86,3487884.62,287600.31,3487915.98,287353.80,3486963.33,287232.60,3486931.96,287479.11,,,,,,
17-20,23.88,3488879.89,287726.93,3488911.25,287480.42,3487957.20,287359.34,3487925.84,287605.56,,,,,,
17-21,23.86,3487852.76,287850.79,3487884.12,287604.28,3486931.46,287483.08,3486900.10,287729.59,,,,,,
17-22,23.90,3488848.03,287977.41,3488879.39,287730.90,3487925.34,287609.52,3487893.98,287856.03,,,,,,
17-23,23.86,3487820.13,288107.23,3487851.49,287860.72,3486898.83,287739.52,3486867.47,287986.03,,,,,,
17-24,23.90,3488815.40,288233.85,3488846.76,287987.34,3487892.71,287865.96,3487861.35,288112.48,,,,,,
17-25,23.86,3487788.27,288357.71,3487819.63,288111.20,3486866.97,287990.00,3486835.61,288236.51,,,,,,
17-26,23.90,3488783.54,288484.33,3488814.90,288237.82,3487860.85,288116.44,3487829.49,288362.95,,,,,,
17-27,22.97,3487761.40,288568.82,3487787.00,288367.63,3486834.35,288246.43,3486800.79,288510.31,,,,,,
17-28,24.13,3486732.33,288501.59,3486765.90,288237.72,3485813.24,288116.53,3485788.04,288314.60,,,,,,
18-01,24.29,3485184.40,284578.29,3485216.31,284327.48,3484263.65,284206.28,3484231.72,284457.26,,,,,,
18-02,24.30,3486205.49,284708.36,3486237.42,284457.38,3485284.76,284336.19,3485252.84,284587.16,,,,,,
18-03,23.86,3485217.58,284317.55,3485248.94,284071.04,3484296.28,283949.84,3484264.92,284196.35,,,,,,
18-04,23.86,3486238.69,284447.46,3486270.05,284200.95,3485317.39,284079.75,3485286.03,284326.26,,,,,,
18-05,23.87,3485249.44,284067.07,3485280.81,283820.54,3484328.15,283699.35,3484296.78,283945.87,,,,,,
18-06,23.87,3486270.55,284196.97,3486301.92,283950.45,3485349.26,283829.25,3485317.89,284075.77,,,,,,
18-07,23.86,3485282.07,283810.62,3485313.43,283564.11,3484360.77,283442.92,3484329.41,283689.43,,,,,,
18-08,23.86,3486303.18,283940.53,3486334.54,283694.02,3485381.88,283572.82,3485350.52,283819.33,,,,,,
18-09,23.89,3485313.93,283560.14,3485345.30,283313.63,3484392.70,283191.94,3484361.28,283438.96,,,,,,
18-10,23.86,3486335.04,283690.05,3486366.41,283443.54,3485413.75,283322.34,3485382.38,283568.85,,,,,,
18-11,23.86,3485346.56,283303.70,3485377.92,283057.19,3484425.26,282936.00,3484393.90,283182.51,,,,,,
18-12,23.85,3486367.67,283433.61,3486399.03,283187.10,3485448.37,283065.90,3485415.01,283312.41,,,,,,
18-13,23.86,3485378.42,283053.22,3485409.79,282806.71,3484457.13,282685.52,3484425.76,282932.00,,,,,,
18-14,23.86,3486399.54,283183.13,3486430.90,282936.62,3485478.24,282815.42,3485446.87,283061.93,,,,,,
18-15,23.07,3485411.05,282796.79,3485441.37,282558.46,3484488.71,282437.27,3484458.39,282675.59,,,,,,
18-16,23.07,3486432.16,282926.70,3486462.48,282688.37,3485509.82,282567.17,3485479.50,282805.50,,,,,,
18-17,23.07,3485443.95,282538.14,3485474.27,282299.81,3484521.61,282178.61,3484491.29,282416.94,,,,,,
18-18,23.07,3486465.06,282668.04,3486495.39,282429.71,3485542.72,282308.51,3485512.40,282546.84,,,,,,
18-19,23.86,3485475.54,282289.89,3485506.90,282043.38,3484554.24,281922.18,3484522.88,282168.69,,,,,,
18-20,23.86,3486496.65,282419.79,3486528.01,282173.28,3485575.35,282052.08,3485543.99,282298.59,,,,,,
18-21,23.86,3485507.40,282039.41,3485538.76,281792.90,3484586.10,281671.70,3484554.74,281918.21,,,,,,
18-22,23.86,3486528.51,282169.31,3486559.87,281922.80,3485607.21,281801.60,3485575.85,282048.11,,,,,,
18-23,23.86,3485540.03,281782.97,3485571.39,281536.46,3484618.73,281415.26,3484587.37,281661.77,,,,,,
18-24,23.86,3486561.14,281912.87,3486592.50,281666.36,3485639.84,281545.16,3485608.48,281791.67,,,,,,
18-25,23.86,3485571.89,281532.49,3485603.25,281285.98,3484650.59,281164.78,3484619.23,281411.29,,,,,,
18-26,23.86,3486593.00,281662.37,3486624.36,281415.88,3485671.70,281294.68,3485640.34,281541.19,,,,,,
18-27,22.83,3485604.52,281276.06,3485633.71,281046.61,3484682.68,280912.58,3484651.86,281154.86,,,,,,
18-28,23.74,3486625.63,281405.96,3486656.08,281166.65,3485704.92,281033.69,3485672.97,281284.76,,,,,,
19-01,24.53,3486160.77,285059.94,3486193.02,284806.42,3485240.33,284685.49,3485208.11,284938.75,,,,,,
19-02,24.50,3485139.66,284930.04,3485171.88,284676.80,3484219.18,284555.87,3484187.00,284808.84,,,,,,
19-03,23.86,3486128.14,285316.38,3486159.50,285069.87,3485206.84,284948.67,3485175.48,285195.19,,,,,,
19-04,23.86,3487121.47,285442.76,3487152.83,285196.24,3486200.17,285075.05,3486168.81,285321.56,,,,,,
19-05,23.87,3486096.27,285566.87,3486127.64,285320.34,3485174.98,285199.15,3485143.61,285445.67,,,,,,
19-06,23.87,3485075.16,285436.97,3485106.53,285190.44,3484153.87,285069.24,3484122.50,285315.77,,,,,,
19-07,23.86,3486063.65,285823.29,3486095.01,285576.78,3485142.35,285455.58,3485110.99,285702.10,,,,,,
19-08,23.86,3485042.54,285693.39,3485073.90,285446.88,3484121.24,285325.68,3484089.88,285572.19,,,,,,
19-09,23.86,3486031.79,286073.77,3486063.15,285827.26,3485110.49,285706.07,3485079.13,285952.57,,,,,,
19-10,23.86,3485010.68,285943.87,3485042.04,285697.36,3484089.38,285576.16,3484058.02,285822.67,,,,,,
19-11,23.86,3485999.16,286330.20,3486030.52,286083.69,3485077.86,285962.49,3485046.50,286209.01,,,,,,
19-12,23.86,3484978.05,286200.30,3485009.41,285953.79,3484056.75,285832.59,3484025.39,286079.10,,,,,,
19-13,23.86,3485967.30,286580.68,3485998.66,286334.17,3485046.00,286212.98,3485014.64,286459.48,,,,,,
19-14,23.86,3484946.19,286450.78,3484977.55,286204.27,3484024.89,286083.07,3483993.53,286329.58,,,,,,
19-15,23.60,3485935.02,286834.39,3485966.03,286590.61,3485013.37,286469.41,3484982.36,286713.19,,,,,,
19-16,23.60,3484913.91,286704.49,3484944.92,286460.71,3483992.26,286339.51,3483961.24,286583.29,,,,,,
19-17,23.07,3485902.81,287087.60,3485933.13,286849.27,3484980.47,286728.07,3484950.15,286966.40,,,,,,
19-18,23.07,3484881.70,286957.70,3484912.02,286719.37,3483959.36,286598.17,3483929.04,286836.50,,,,,,
19-19,23.86,3485870.18,287344.03,3485901.55,287097.52,3484948.88,286976.32,3484917.52,287222.84,,,,,,
19-20,17.01,3484849.07,287214.13,3484880.43,286967.62,3483927.77,286846.42,3483924.06,286875.61,,,,,,
19-21,23.86,3485838.32,287594.51,3485869.68,287348.00,3484917.02,287226.81,3484885.66,287473.31,,,,,,
19-22,12.72,3484817.21,287464.61,3484848.57,287218.10,3484365.94,287156.70,3484284.32,287396.82,,,,,,
19-23,23.86,3485805.69,287850.95,3485837.05,287604.44,3484884.39,287483.24,3484853.03,287729.76,,,,,,
19-24,14.03,3484784.58,287721.05,3484815.94,287474.54,3484281.03,287406.49,3484199.42,287646.61,,,,,,
19-25,23.86,3485773.83,288101.43,3485805.19,287854.92,3484852.53,287733.73,3484821.17,287980.23,,,,,,
19-26,14.85,3484747.36,288013.65,3484784.08,287725.02,3484198.11,287650.47,3484134.87,287836.52,,,,,,
19-27,11.40,3485748.18,288303.07,3485772.57,288110.35,3484819.91,287990.15,3484814.46,288033.05,,,,,,
20-03,23.86,3483205.12,284061.53,3483236.48,283815.02,3482283.82,283693.82,3482252.46,283940.33,,,,,,
20-04,23.86,3484224.25,284191.18,3484255.61,283944.67,3483302.94,283823.47,3483271.58,284069.98,,,,,,
20-05,23.87,3483236.98,283811.04,3483268.35,283564.52,3482315.69,283443.27,3482284.32,283689.84,,,,,,
20-06,23.87,3484256.11,283940.69,3484287.48,283694.17,3483334.81,283572.97,3483303.44,283819.50,,,,,,
20-07,23.86,3483269.61,283554.60,3483300.97,283308.09,3482353.27,283187.53,3482346.92,283197.83,,,,,,
20-08,23.86,3484288.74,283684.25,3484320.10,283437.74,3483367.43,283316.54,3483336.07,283563.05,,,,,,
20-09,22.30,3483301.47,283304.12,3483332.83,283057.61,3482498.51,282951.46,3482355.57,283183.78,,,,,,
20-1,24.30,3483171.92,284322.43,3483203.85,284071.45,3482251.19,283950.25,3482219.27,284201.23,,,,,,
20-10,23.86,3484320.60,283433.77,3484351.97,283187.26,3483399.30,283066.06,3483367.93,283312.57,,,,,,
20-11,19.39,3483334.10,283047.68,3483365.46,282801.17,3482647.20,282709.79,3482504.26,282942.11,,,,,,
20-12,23.86,3484353.23,283177.33,3484384.59,282930.82,3483431.92,282809.62,3483400.56,283056.13,,,,,,
20-13,16.55,3483365.96,282797.20,3483397.33,282550.69,3482792.45,282473.74,3482649.51,282706.05,,,,,,
20-14,23.86,3484385.09,282926.85,3484416.46,282680.34,3483463.79,282559.14,3483432.42,282805.65,,,,,,
20-15,13.23,3483398.59,282540.77,3483428.91,282302.44,3482936.40,282239.78,3482798.20,282464.39,,,,,,
20-16,23.07,3484417.72,282670.42,3484448.04,282432.09,3483495.37,282310.89,3483465.05,282549.22,,,,,,
20-17,10.40,3483431.49,282282.11,3483461.81,282043.78,3483086.38,281996.02,3482948.18,282220.62,,,,,,
20-18,23.07,3484450.62,282411.77,3484480.94,282173.43,3483528.27,282052.24,3483497.95,282290.57,,,,,,
20-19,8.18,3483463.08,282033.86,3483494.44,281787.35,3483202.53,281750.21,3483134.70,281917.49,,,,,,
20-2,24.30,3484191.06,284452.08,3484222.98,284201.11,3483270.31,284079.91,3483238.38,284330.88,,,,,,
20-20,23.86,3484482.21,282163.51,3484513.57,281917.00,3483560.90,281795.81,3483529.54,282042.32,,,,,,
20-21,6.47,3483494.94,281783.38,3483526.30,281536.87,3483300.67,281508.16,3483204.05,281746.38,,,,,,
20-22,23.86,3484514.07,281913.03,3484545.43,281666.52,3483592.76,281545.33,3483561.40,281791.83,,,,,,
20-23,4.77,3483527.57,281526.94,3483558.93,281280.43,3483401.15,281260.36,3483304.56,281498.57,,,,,,
20-24,23.86,3484546.70,281656.59,3484578.06,281410.08,3483625.39,281288.89,3483594.03,281535.40,,,,,,
20-25,3.11,3483559.44,281276.46,3483590.79,281029.95,3483499.29,281018.31,3483402.71,281256.53,,,,,,
20-26,23.86,3484578.56,281406.11,3484609.92,281159.60,3483657.25,281038.41,3483625.89,281284.92,,,,,,
20-28,23.91,3484611.19,281149.68,3484641.80,280909.08,3483690.76,280775.06,3483658.52,281028.49,,,,,,
21-01,13.60,3482110.05,284544.61,3482142.15,284292.22,3481668.51,284232.11,3481522.53,284469.87,,,,,,
21-02,24.45,3483127.19,284674.01,3483159.33,284421.34,3482206.65,284300.41,3482174.54,284552.81,,,,,,
21-03,23.86,3484113.70,285060.11,3484145.03,284813.59,3483192.40,284692.40,3483161.04,284938.91,,,,,,
21-04,23.86,3483094.57,284930.45,3483125.93,284683.94,3482173.27,284562.74,3482141.91,284809.26,,,,,,
21-05,23.87,3484081.83,285310.60,3484113.20,285064.07,3483160.54,284942.87,3483129.17,285189.40,,,,,,
21-06,23.87,3483062.70,285180.94,3483094.07,284934.41,3482141.41,284813.22,3482110.04,285059.74,,,,,,
21-07,23.86,3484049.21,285567.02,3484080.57,285320.51,3483127.91,285199.31,3483096.55,285445.82,,,,,,
21-08,23.86,3483030.08,285437.36,3483061.44,285190.85,3482108.78,285069.65,3482077.42,285316.17,,,,,,
21-09,23.86,3484017.35,285817.49,3484048.71,285570.99,3483096.05,285449.79,3483064.69,285696.30,,,,,,
21-10,23.86,3482998.22,285687.84,3483029.58,285441.33,3482076.92,285320.14,3482045.56,285566.64,,,,,,
21-11,23.86,3483984.72,286073.93,3484016.08,285827.42,3483063.42,285706.22,3483032.06,285952.73,,,,,,
21-12,23.86,3482965.59,285944.27,3482996.95,285697.76,3482044.29,285576.56,3482012.93,285823.08,,,,,,
21-13,23.86,3483952.86,286324.40,3483984.22,286077.90,3483031.56,285956.70,3483000.20,286203.21,,,,,,
21-14,23.86,3482933.73,286194.75,3482965.09,285948.24,3482012.43,285827.05,3481981.07,286073.55,,,,,,
21-15,23.50,3483920.57,286578.12,3483951.59,286334.34,3482998.93,286213.14,3482971.03,286432.47,,,,,,
21-16,19.98,3482792.11,286353.69,3482906.72,286406.98,3482932.46,286204.68,3481979.80,286083.48,,,,,,
21-17,12.08,3483885.05,286857.47,3483920.08,286582.08,3483056.56,286472.24,---,---,,,,,,
22-01,8.36,3481611.93,284124.02,3481741.36,283913.68,3481300.05,283642.13,3481523.11,284112.72,,,,,,
22-03,16.60,3481746.60,283905.16,3481877.62,283692.24,3481301.17,283337.55,3481196.58,283423.85,,,,,,
22-05,15.82,3481879.72,283688.83,3482010.73,283475.91,3481508.20,283166.71,3481304.43,283334.86,,,,,,
22-07,13.28,3482015.97,283467.40,3482146.99,283254.48,3481767.11,283020.74,3481724.52,283044.30,,,,,,
22-09,9.85,3482149.09,283251.07,3482280.10,283038.15,3481965.11,282844.34,3481866.24,282965.91,,,,,,
22-11,8.84,3482285.35,283029.63,3482416.36,282816.72,3482116.95,282632.51,3482102.60,282675.29,,,,,,
22-13,8.75,3482418.46,282813.31,3482549.47,282600.39,3482259.90,282422.22,3482127.45,282601.20,,,,,,
22-15,8.21,3482554.72,282591.87,3482685.73,282378.95,3482415.13,282212.47,3482265.87,282414.16,,,,,,
22-17,7.62,3482687.83,282375.54,3482818.85,282162.62,3482570.37,282009.75,3482429.77,282192.69,,,,,,
22-19,6.94,3482824.09,282154.11,3482955.10,281941.19,3482729.67,281802.48,3482576.51,282001.77,,,,,,
22-21,7.90,3482905.59,281558.59,3482727.00,281796.00,3482957.82,281938.63,3483125.73,281672.51,,,,,,
22-23,7.79,3483131.00,281665.00,3483197.00,281503.00,3483240.00,281394.00,3483298.00,281241.00,3483050.00,281368.00,3482910.00,281555.00,,
23-01,13.60,3482110.05,284544.61,3482142.15,284292.22,3481668.51,284232.11,3481522.53,284469.87,,,,,,
23-03,16.22,3482077.43,284801.05,3482108.79,284554.54,3481516.78,284479.23,3481374.10,284711.58,,,,,,
23-05,19.06,3482045.56,285051.54,3482076.93,284805.01,3481371.81,284715.31,3481229.13,284947.68,,,,,,
23-07,21.96,3482012.94,285307.96,3482044.30,285061.45,3481223.40,284957.02,3481080.72,285189.37,,,,,,
23-09,24.79,3481981.08,285558.44,3482012.44,285311.93,3481078.42,285193.11,3480935.75,285425.46,,,,,,
23-11,22.90,3481948.45,285814.87,3481979.81,285568.36,3480930.01,285434.81,3480902.65,285479.36,,,,,,
23-13,11.54,3481916.59,286065.35,3481947.95,285818.84,3481267.99,285732.34,3481511.89,285901.24,,,,,,
23-15,3.15,3481886.45,286302.19,3481915.32,286075.28,3481642.00,286040.52,---,---,,,,,,
24-01,27.50,3480802.35,282954.78,3480837.14,282707.22,3479748.26,282554.12,3479713.05,282801.68,,,,,,
24-02,22.69,3481571.54,282917.78,3481613.68,282816.36,3480906.46,282716.96,3480871.67,282964.52,,,,,,
24-03,27.50,3480838.53,282697.31,3480873.33,282449.75,3479784.03,282296.65,3479749.23,282544.21,,,,,,
24-04,18.73,3481617.65,282806.82,3481716.77,282568.29,3480942.65,282459.49,3480907.85,282707.05,,,,,,
24-05,27.50,3480873.88,282445.79,3480908.68,282198.22,3479819.38,282045.12,3479784.58,282292.69,,,,,,
24-06,20.38,3481718.36,282564.47,3481817.48,282325.95,3480978.00,282207.96,3480943.20,282455.53,,,,,,
24-07,27.50,3480910.07,282188.32,3480944.86,281940.75,3479855.56,281787.65,3479820.77,282035.22,,,,,,
24-08,22.07,3481821.44,282316.41,3481920.56,282077.88,3481014.18,281950.49,3480979.39,282198.06,,,,,,
24-09,27.50,3480945.42,281936.79,3480980.21,281689.22,3479890.91,281536.12,3479856.12,281783.69,,,,,,
24-10,23.72,3481922.15,282074.06,3482021.27,281835.54,3481049.53,281698.96,3481014.74,281946.53,,,,,,
24-11,27.50,3480981.60,281679.32,3481016.40,281431.75,3479927.10,281278.65,3479892.30,281526.22,,,,,,
24-12,25.41,3482025.24,281826.00,3482124.36,281587.47,3481085.72,281441.49,3481050.92,281689.06,,,,,,
24-13,27.50,3481016.95,281427.79,3481051.75,281180.22,3479962.45,281027.12,3479927.65,281274.69,,,,,,
24-14,27.91,3482125.94,281583.66,3482224.80,281345.77,3481123.29,281174.12,3481086.27,281437.53,,,,,,
24-15,27.50,3481053.14,281170.32,3481087.93,280922.75,3479998.63,280769.65,3479963.84,281017.22,,,,,,
24-16,13.91,3481386.42,280272.94,3481238.23,280252.12,3481110.45,281161.36,3481262.39,281182.71,,,,,,
24-17,27.50,3481088.49,280918.79,3481123.28,280671.23,3480033.98,280518.13,3479999.19,280765.69,,,,,,
24-19,27.50,3481124.67,280661.32,3481159.47,280413.76,3480070.17,280260.66,3480035.37,280508.22,,,,,,
24-21,22.55,3481160.85,280403.85,3481189.40,280200.85,3480100.10,280047.75,3480071.55,280250.75,,,,,,
25-01,3.65,3481270.46,283796.83,3481122.60,283484.91,3480954.33,283623.76,---,---,,,,,,
25-03,14.75,3481455.83,284187.91,3481273.37,283802.99,3480951.01,283626.50,3480743.37,283797.84,,,,,,
25-05,21.69,3481326.73,284413.64,3481457.91,284200.44,3480735.07,283804.70,3480527.43,283976.03,,,,,,
25-07,23.91,3481193.44,284630.24,3481324.63,284417.05,3480524.10,283978.77,3480316.46,284150.10,,,,,,
25-09,26.17,3481057.02,284851.96,3481188.20,284638.77,3480308.16,284156.96,3480100.52,284328.29,,,,,,
25-11,28.39,3480923.73,285068.57,3481054.92,284855.37,3480097.20,284331.03,3479889.56,284502.37,,,,,,
25-13,30.65,3480787.30,285290.30,3480918.49,285077.09,3479881.25,284509.22,3479673.61,284680.56,,,,,,
25-15,19.68,3480707.01,285337.20,3480744.31,285360.16,3480782.06,285298.82,3479665.31,284687.41,,,,,,
26-01,17.83,3478608.91,282646.52,3478643.70,282398.95,3477939.12,282299.93,3477900.59,282546.97,,,,,,
26-02,25.00,3479668.50,282795.43,3479703.29,282547.87,3478713.02,282408.69,3478678.23,282656.25,,,,,,
26-03,17.74,3478645.09,282389.04,3478679.89,282141.48,3477979.19,282043.00,3477940.66,282290.04,,,,,,
26-04,25.00,3479704.68,282537.96,3479739.48,282290.40,3478749.21,282151.22,3478714.41,282398.78,,,,,,
26-05,17.64,3478680.44,282137.52,3478715.24,281889.95,3478018.34,281792.00,3477979.81,282039.05,,,,,,
26-06,25.00,3479740.03,282286.44,3479774.83,282038.87,3478784.56,281899.69,3478749.76,282147.26,,,,,,
26-07,17.54,3478716.63,281880.05,3478751.42,281632.48,3478058.40,281535.08,3478019.88,281782.12,,,,,,
26-08,25.00,3479776.22,282028.97,3479811.01,281781.40,3478820.74,281642.22,3478785.95,281889.79,,,,,,
26-09,17.45,3478751.98,281628.52,3478786.77,281380.95,3478097.55,281284.09,3478059.02,281531.13,,,,,,
26-10,25.00,3479811.57,281777.44,3479846.36,281529.87,3478856.09,281390.69,3478821.30,281638.26,,,,,,
26-11,17.35,3478788.16,281371.05,3478822.96,281123.48,3478137.62,281027.16,3478099.09,281274.20,,,,,,
26-12,25.00,3479847.75,281519.97,3479882.55,281272.40,3478892.28,281133.22,3478857.48,281380.79,,,,,,
26-13,17.25,3478823.51,281119.52,3478858.31,280871.95,3478176.76,280776.16,3478138.23,281023.21,,,,,,
26-14,25.00,3479883.10,281268.44,3479917.90,281020.87,3478927.63,280881.69,3478892.83,281129.26,,,,,,
26-15,17.16,3478859.70,280862.05,3478894.49,280614.48,3478216.83,280519.24,3478178.30,280766.29,,,,,,
26-16,25.00,3479919.29,281010.97,3479954.08,280763.40,3478963.81,280624.22,3478929.02,280871.79,,,,,,
26-17,17.06,3478895.05,280610.52,3478929.84,280362.96,3478256.50,280268.33,3478253.64,280283.22,,,,,,
26-18,25.00,3479954.64,280759.44,3479989.43,280511.88,3478999.16,280372.70,3478964.37,280620.26,,,,,,
26-19,16.80,3478931.23,280353.05,3478947.79,280235.24,3478944.40,280209.52,3478947.10,280190.35,,,,,,
26-20,25.00,3479990.82,280501.97,3480025.62,280254.41,3479035.35,280115.23,3479000.55,280362.79,,,,,,
26-21,13.62,3478967.41,280095.58,3478995.96,279892.58,3478340.50,279800.46,3478307.47,280002.83,,,,,,
26-22,20.44,3480027.00,280244.50,3480055.54,280041.50,3479373.17,279945.60,3479339.33,279960.80,,,,,,
27-01,32.38,3481052.82,283335.35,3480924.61,283064.87,3479801.40,282907.02,3479752.93,282892.64,,,,,,
27-02,25.80,3479622.88,283134.39,3479658.72,282879.40,3478666.49,282739.94,3478630.64,282994.92,,,,,,
27-03,31.85,3480802.77,283562.76,3481059.84,283350.16,3481057.95,283346.17,3479688.83,283153.75,,,,,,
27-04,25.05,3479586.70,283391.85,3479621.49,283144.29,3478629.25,283004.83,3478594.46,283252.39,,,,,,
27-05,26.05,3480537.66,283782.00,3480798.58,283566.22,3479653.48,283405.28,3479618.69,283652.84,,,,,,
27-06,25.05,3479551.35,283643.38,3479586.14,283395.82,3478593.90,283256.36,3478559.11,283503.92,,,,,,
27-07,19.04,3480282.48,283993.04,3480527.23,283790.63,3479617.29,283662.75,3479584.66,283894.97,,,,,,
27-08,19.70,3479178.91,283837.94,3479517.32,283885.50,3479549.95,283653.29,3478557.72,283513.83,,,,,,
29-02,19.93,3478568.86,282931.45,3478607.53,282656.42,3477899.05,282556.85,3477878.61,282687.93,,,,,,
29-04,20.76,3478528.11,283221.37,3478567.47,282941.36,3477851.15,282840.23,3477842.29,282886.07,,,,,,
30-01,23.82,3482178.59,284196.11,3482307.77,283181.03,3481716.66,284137.34,,,,,,,,
جمع کل,11945.71,,,,,,,,,,,,,,
